Year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,161,851,84.09
2003,1088,187,901,82.81
2004,1087,190,897,82.52
2005,1038,166,872,84.01
2006,1069,169,900,84.19
2007,1058,138,920,86.96
2008,1061,135,926,87.28
2009,1094,140,954,87.20
2010,1050,118,932,88.76
2011,1057,107,950,89.88
2012,1059,102,957,90.37
2013,1042,87,955,91.65
2014,1014,81,933,92.01
2015,1011,68,943,93.27
2016,1076,61,1015,94.33
2017,1043,49,994,95.30
2018,1090,41,1049,96.24
2019,1038,44,994,95.76
2020,967,21,946,97.83
